                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.1535,                0.85882,                 1.1731,                0.91964,                0.84175,                0.90276,                0.67056,                0.94913,                0.56645,                 1.0153,               0.004258,               0.004258,               0.004258
                     60,                 1.1282,                0.83146,                 1.1548,                0.92479,                 0.8441,                 0.9015,                0.67109,                0.94958,                0.56002,                  1.011,               0.004159,               0.004159,               0.004159
                     61,                 1.1355,                0.82452,                 1.1521,                0.92306,                0.85184,                0.90442,                 0.6774,                0.94031,                0.55567,                 1.0038,                0.00406,                0.00406,                0.00406
                     62,                 1.1089,                0.81196,                 1.1453,                0.92309,                0.85801,                0.90537,                0.67828,                0.92917,                0.55433,                0.99578,               0.003961,               0.003961,               0.003961
                     63,                 1.0964,                0.80047,                 1.1373,                0.93217,                0.85194,                0.90556,                0.68142,                0.94139,                0.54775,                 1.0084,               0.003862,               0.003862,               0.003862
                     64,                 1.0889,                0.78806,                 1.1376,                0.92769,                0.85197,                0.90741,                0.68718,                 0.9105,                0.53455,                0.99321,               0.003763,               0.003763,               0.003763
                     65,                 1.0914,                0.78903,                 1.1321,                0.92966,                0.84721,                0.90918,                0.68582,                0.91776,                0.54247,                0.99773,               0.003664,               0.003664,               0.003664
                     66,                 1.0777,                0.77401,                  1.124,                0.93418,                0.86569,                0.91511,                0.69304,                0.89748,                0.52553,                0.98235,               0.003565,               0.003565,               0.003565
                     67,                 1.0762,                0.78243,                 1.1246,                0.92473,                0.86419,                0.91405,                0.69866,                0.88366,                0.51958,                0.97875,               0.003466,               0.003466,               0.003466
                     68,                 1.0586,                 0.7571,                 1.1192,                 0.9325,                0.86615,                0.91802,                0.69726,                0.88498,                0.50849,                0.98061,               0.003367,               0.003367,               0.003367
                     69,                 1.0658,                0.73757,                 1.1118,                0.93532,                0.86817,                0.91683,                0.70308,                0.87642,                 0.5017,                0.96888,               0.003268,               0.003268,               0.003268
                     70,                 1.0492,                0.74322,                 1.1111,                0.93352,                0.86759,                0.91693,                0.70828,                0.85882,                0.48705,                0.96151,               0.003169,               0.003169,               0.003169
                     71,                 1.0334,                0.72723,                 1.1031,                0.94083,                0.87382,                0.92209,                0.71376,                0.85726,                0.48362,                 0.9569,                0.00307,                0.00307,                0.00307
                     72,                 1.0357,                0.72402,                 1.1006,                0.93968,                0.88853,                0.92421,                0.71788,                 0.8373,                0.47999,                 0.9462,               0.002971,               0.002971,               0.002971
                     73,                 1.0235,                0.71575,                 1.0943,                0.95377,                0.87899,                 0.9261,                0.72113,                0.82796,                0.46575,                0.94486,               0.002872,               0.002872,               0.002872
                     74,                 1.0204,                0.71085,                 1.0886,                0.93295,                0.88966,                0.92547,                0.72533,                0.81924,                0.46063,                 0.9351,               0.002773,               0.002773,               0.002773
                     75,                 1.0205,                0.69772,                 1.0931,                0.93779,                 0.8934,                0.92764,                0.72833,                0.81038,                0.45658,                0.93195,               0.002674,               0.002674,               0.002674
                     76,                 1.0046,                0.67854,                 1.0881,                0.95299,                0.88311,                0.92775,                0.73507,                0.79388,                0.44645,                0.92856,               0.002575,               0.002575,               0.002575
                     77,                0.98699,                0.67695,                 1.0815,                0.94996,                0.89253,                0.93414,                0.73993,                0.79595,                0.43936,                0.92875,               0.002476,               0.002476,               0.002476
                     78,                0.96022,                 0.6687,                 1.0706,                0.94656,                0.89043,                0.93203,                 0.7421,                0.78693,                0.43914,                0.92272,               0.002377,               0.002377,               0.002377
                     79,                0.95076,                0.65035,                 1.0621,                0.95299,                0.89319,                0.93248,                 0.7423,                0.77751,                0.43408,                0.91522,               0.002278,               0.002278,               0.002278
